,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
246,Juárez,2015,Ingresos de deuda,29220974,4.19%,Deuda,89030748,12.77%,,
247,Juárez,2015,,,,Otros,15797334,2.27%,,
252,Pesquería,2015,Ingresos propios,74146032,56.44%,Gasto corriente,83206079,63.34%,Ingresos,131362555
253,Pesquería,2015,Ingresos provenientes de transferencias federales,57216523,43.56%,Inversión,31170130,23.73%,Egresos,131362555
254,Pesquería,2015,Ingresos de deuda,0,0.00%,Deuda,2608519,1.99%,,
255,Pesquería,2015,,,,Otros,14377827,10.95%,,
256,Salinas Victoria,2015,Ingresos propios,93555613,47.00%,Gasto corriente,94194785,47.32%,Ingresos,199059719
257,Salinas Victoria,2015,Ingresos provenientes de transferencias federales,92297056,46.37%,Inversión,93301222,46.87%,Egresos,199059719
258,Salinas Victoria,2015,Ingresos de deuda,13207050,6.63%,Deuda,2280922,1.15%,,
259,Salinas Victoria,2015,,,,Otros,9282790,4.66%,,
264,Santa Catarina,2015,Ingresos propios,261860602,24.12%,Gasto corriente,563450038,51.89%,Ingresos,1085833635
265,Santa Catarina,2015,Ingresos provenientes de transferencias federales,699931514,64.46%,Inversión,375184895,34.55%,Egresos,1085833635
266,Santa Catarina,2015,Ingresos de deuda,124041519,11.42%,Deuda,108811806,10.02%,,
267,Santa Catarina,2015,,,,Otros,38386896,3.54%,,
268,Santiago,2015,Ingresos propios,100853000,38.12%,Gasto corriente,188599000,71.28%,Ingresos,264586000
269,Santiago,2015,Ingresos provenientes de transferencias federales,161733000,61.13%,Inversión,49064000,18.54%,Egresos,264586000
270,Santiago,2015,Ingresos de deuda,2000000,0.76%,Deuda,3632000,1.37%,,
271,Santiago,2015,,,,Otros,23291000,8.80%,,
272,Abasolo,2018,Ingresos propios,,,Gasto corriente,,,Ingresos,0
273,Abasolo,2018,Ingresos provenientes de transferencias federales,,,Inversión,,,Egresos,0
274,Abasolo,2018,Ingresos de deuda,,,Deuda,,,,
275,Abasolo,2018,,,,Otros,,,,
